Country Name,Region,Subregion,Intermediate Region,GNI,Internet use,International tourism,"Life expectancy, female","Life expectancy, male",Physicians,Population,Women in national parliament,"Tertiary education, female","Tertiary education, male",Greenhouse gas emissions,High Income Economy,GDP Per Capita,Literacy Rate,Life expectancy
Sao Tome and Principe,Africa,Sub-Saharan Africa,Middle Africa,471514468.1,29.9312292,33400.00153,72.814,67.98,0.0531,219161,23.63636364,13.65163994,13.1232996,190,0,2151.452439,13.38746977,70.397
Saudi Arabia,Asia,Western Asia,Western Asia,7.15551E+11,95.7247356,20292000,76.759,73.935,2.6117,34813867,19.86754967,73.68267059,68.33580017,638120,1,20553.63231,71.00923538,75.347
Senegal,Africa,Sub-Saharan Africa,Western Africa,24309777732,29.64312367,1376000,69.918,65.757,0.0691,16743930,43.03030303,11.26286983,15.01334953,29990,0,1451.856149,13.13810968,67.8375
Serbia,Europe,Southern Europe,Southern Europe,51360419698,77.41677362,1847000,78.4,73.1,3.1131,6908224,38.8,79.28404236,56.96517944,62600,0,7434.677813,68.1246109,75.75
Seychelles,Africa,Sub-Saharan Africa,Eastern Africa,1064318182,58.76981124,428000,78.4,69.7,2.1212,98462,24.24242424,26.73299026,12.02186012,780,0,10809.43086,19.37742519,74.05
Sierra Leone,Africa,Sub-Saharan Africa,Western Africa,3720678059,13.23693043,71000,55.495,53.853,0.0251,7976985,12.32876712,1.142809987,2.753139973,7190,0,466.4266085,1.94797498,54.674
Singapore,Asia,South-eastern Asia,South-eastern Asia,2.98439E+11,88.94925269,19116000,85.7,81.4,2.2936,5685807,29.47368421,95.41782379,82.91300201,66640,1,52488.45519,89.1654129,83.55
Sint Maarten (Dutch part),Americas,Latin America and the Caribbean,Caribbean,1159301620,,1952000,82.8,74,,40812,,8.962260246,2.646500111,,1,28405.90072,5.804380178,78.4
Slovak Republic,Europe,Eastern Europe,Eastern Europe,1.02777E+11,82.8536605,15406000,80.8,74.3,3.4156,5458827,22.66666667,54.88909912,36.30809021,39930,1,18827.69424,45.59859467,77.55
Slovenia,Europe,Southern Europe,Southern Europe,53306118486,83.1083578,4702000,84.2,78.5,3.0861,2100126,27.77777778,91.63233948,63.47811127,17170,1,25382.34301,77.55522537,81.35
Solomon Islands,Oceania,Melanesia,Melanesia,1587694451,11.92422906,28899.99962,74.866,71.3,0.1937,686878,6.382978723,,,940,0,2311.464992,0,73.083
Somalia,Africa,Sub-Saharan Africa,Eastern Africa,4882094593,2.004048698,,59.132,55.725,0.023,15893219,24.36363636,0.975910008,3.930560112,26970,0,307.1809803,2.45323506,57.4285
South Africa,Africa,Sub-Saharan Africa,Southern Africa,2.96206E+11,56.16739447,14797000,67.679,60.726,0.9054,59308690,46.75,28.31438065,19.35346031,513440,0,4994.305588,23.83392048,64.2025
South Sudan,Africa,Sub-Saharan Africa,Eastern Africa,10522800760,7.977428907,,59.383,56.351,,11193729,28.45953003,,,58660,0,940.062133,0,57.867
Spain,Europe,Southern Europe,Southern Europe,1.39557E+12,90.71866533,126170000,86.2,80.9,3.8723,47351567,44,99.96835327,82.66291046,326940,1,29472.55426,91.31563187,83.55
Sri Lanka,Asia,Southern Asia,Southern Asia,78522599257,34.1133479,2027000,80.261,73.596,1.0041,21919000,5.381165919,26.01553917,16.21982002,35240,0,3582.398798,21.1176796,76.9285
St. Kitts and Nevis,Americas,Latin America and the Caribbean,Caribbean,914351566.9,80.71019081,1107000,74,68.8,2.6758,53192,25,115.8808899,57.72637939,370,1,17189.64444,86.80363464,71.4
St. Lucia,Americas,Latin America and the Caribbean,Caribbean,1605087491,50.81524478,1220000,77.58,74.851,0.6409,183629,16.66666667,20.88139915,9.857139587,740,0,8740.925949,15.36926937,76.2155
St. Martin (French part),Americas,Latin America and the Caribbean,Caribbean,,,,83.2,76.9,,38659,,,,,0,0,0,80.05
St. Vincent and the Grenadines,Americas,Latin America and the Caribbean,Caribbean,812040777.8,20.68943522,392000,75.131,70.289,0.6648,110947,18.18181818,29.77216911,17.7863102,370,0,7319.177425,23.77923965,72.71
Sudan,Africa,0rthern Africa,0rthern Africa,24416240961,30.87029573,836000,67.187,63.467,0.2618,43849269,30.51643192,17.06071091,16.78053093,109630,0,556.8220752,16.92062092,65.327
Suriname,Americas,Latin America and the Caribbean,South America,3357822880,48.94517397,279000,75.063,68.468,1.2101,586634,29.41176471,15.72609997,9.461009979,3780,0,5723.880443,12.59355497,71.7655
Sweden,Europe,0rthern Europe,0rthern Europe,5.54401E+11,94.49344341,7616000,84.7,81.3,3.984,10353442,46.99140401,89.77929688,56.14540863,46350,1,53547.50061,72.96235275,83
Switzerland,Europe,Western Europe,Western Europe,7.36488E+11,93.14608695,11818000,85.6,81.9,4.2957,8636896,41.5,62.31203079,60.47684097,46020,1,85272.28613,61.39443588,83.75
Syrian Arab Republic,Asia,Western Asia,Western Asia,39715797004,34.25340193,2424000,78.103,67.941,1.2874,17500657,11.2,42.79074097,37.47058868,46320,0,2269.388915,40.13066483,73.022
Tajikistan,Asia,Central Asia,Central Asia,9558305215,21.96,1035000,73.389,68.935,2.1026,9537642,23.80952381,26.85371017,35.47166824,15210,0,1002.166491,31.16268921,71.162
Tanzania,Africa,Sub-Saharan Africa,Eastern Africa,61909170639,15.99999943,1527000,67.233,63.643,0.014,59734213,36.71875,2.453000069,3.727790117,105380,0,1036.410585,3.090395093,65.438
Thailand,Asia,South-eastern Asia,South-eastern Asia,4.87772E+11,66.65241317,39916000,80.9,73.46,0.805,69799978,15.74642127,57.76924133,41.04877853,416950,0,6988.1367,49.40900993,77.18
Timor-Leste,Asia,South-eastern Asia,South-eastern Asia,2438000000,27.49273173,74800.00305,71.635,67.492,0.7224,1318442,38.46153846,14.81589031,20.62519073,6190,0,1849.152257,17.72054052,69.5635
Togo,Africa,Sub-Saharan Africa,Western Africa,7591294395,12.36022497,876000,61.918,60.152,0.0774,8278737,18.68131868,9.708310127,18.30311012,8420,0,916.9628646,14.00571012,61.035
Tonga,Oceania,Polynesia,Polynesia,537659404,41.24872764,94000,72.887,68.967,0.5403,105697,7.407407407,8.011099815,4.827209949,350,0,5086.799096,6.419154882,70.927
Trinidad and Tobago,Americas,Latin America and the Caribbean,Caribbean,21327831527,77.32605293,480000,76.224,70.874,4.1675,1399491,26.19047619,13.36106014,10.5638504,22900,1,15239.7061,11.96245527,73.549
Tunisia,Africa,0rthern Africa,0rthern Africa,38195973107,66.6999983,9429000,78.721,74.688,1.3025,11818618,24.88479263,41.73468018,22.61010933,41100,0,3231.847675,32.17239475,76.7045
Turkey,Asia,Western Asia,Western Asia,7.11418E+11,73.97670403,51747000,80.563,74.724,1.8492,84339067,17.31748727,107.0511932,119.175209,502520,0,8435.212354,113.1132011,77.6435
Turkmenistan,Asia,Central Asia,Central Asia,43575785421,21.25099741,380000,71.717,64.705,2.2247,6031187,25,12.84597969,15.58207035,125080,0,7225.076162,14.21402502,68.211
Turks and Caicos Islands,Americas,Latin America and the Caribbean,Caribbean,1180656430,0,1599000,,,,38718,,0.270029992,0.178409994,2.3167859,1,30493.73496,0.224219993,0
Tuvalu,Oceania,Polynesia,Polynesia,67515587.36,49.31833862,2700.000048,,,0.9174,11792,6.25,,,30,0,5725.541669,0,0
Uganda,Africa,Sub-Saharan Africa,Eastern Africa,36757733549,23.70653091,1402000,65.622,61,0.168,45741000,34.8583878,4.099870205,5.618529797,54870,0,803.6058142,4.859200001,63.311
Ukraine,Europe,Eastern Europe,Eastern Europe,1.57996E+11,62.55315539,13710000,76.98,66.92,2.9923,44134693,20.80378251,88.81465912,76.82852936,274510,0,3579.863559,82.82159424,71.95
United Arab Emirates,Asia,Western Asia,Western Asia,4.23201E+11,99.14999796,21553000,79.314,77.291,2.5278,9890400,50,,,263240,1,42789.04909,0,78.3025
United Kingdom,Europe,0rthern Europe,0rthern Europe,2.77881E+12,92.51662855,40857000,83.1,79.4,2.8117,67215293,33.84615385,71.14698029,51.98603058,452080,1,41342.00486,61.56650543,81.25
United States,Americas,0rthern America,0rthern America,2.169E+13,88.49890317,166009000,81.4,76.3,2.612,329484123,27.46478873,102.3540421,74.89505005,6023620,1,65830.22818,88.62454605,78.85
Uruguay,Americas,Latin America and the Caribbean,South America,50878935887,76.94955197,3480000,81.478,74.119,5.0794,3473727,21.21212121,57.95748901,34.51662064,36160,1,14646.78597,46.23705482,77.7985
Uzbekistan,Asia,Central Asia,Central Asia,57465921184,55.20000067,6749000,73.829,69.592,2.3742,34232050,32,11.3700304,13.74291992,235510,0,1678.71691,12.55647516,71.7105
Vanuatu,Oceania,Melanesia,Melanesia,844714948.9,25.71978784,256000,72.154,68.985,0.1653,307150,0,3.497920036,5.938469887,870,0,2750.17076,4.718194962,70.5695
"Venezuela, RB",Americas,Latin America and the Caribbean,South America,4.76934E+11,64.31336383,429000,76.004,68.327,1.9475,28435943,22.15568862,100.2915878,59.34989929,233920,1,16772.21897,79.82074356,72.1655
Vietnam,Asia,South-eastern Asia,South-eastern Asia,2.56921E+11,68.7,18009000,79.523,71.301,0.8281,97338583,26.72064777,31.71715927,25.52942085,376530,0,2639.452418,28.62329006,75.412
Virgin Islands (U.S.),Americas,Latin America and the Caribbean,Caribbean,,64.3774943,2074000,83.1,76.4,1.645,106290,,,,44.728346,0,0,0,79.75
West Bank and Gaza,Asia,Western Asia,Western Asia,18107200000,70.62260685,688000,75.755,72.416,0.837,4803269,,53.89973831,32.93423843,,0,3769.765966,43.41698837,74.0855
"Yemen, Rep.",Asia,Western Asia,Western Asia,23469269599,26.71835477,398000,67.826,64.443,0.5251,29825968,0.332225914,6.169670105,14.01593018,21760,0,786.8736934,10.09280014,66.1345
Zambia,Africa,Sub-Saharan Africa,Eastern Africa,18797913226,14.2999971,1266000,66.891,60.848,1.1867,18383956,16.76646707,3.501669884,4.750289917,40670,0,1022.517309,4.1259799,63.8695
Zimbabwe,Africa,Sub-Saharan Africa,Eastern Africa,16494622183,27.05548769,2294000,62.899,59.798,0.2096,14862927,31.85185185,9.172129631,10.91965961,31380,0,1109.782897,10.04589462,61.3485
